"Literal",Code
"7e dag adventisten",http://cedar.example.org/ns#belief-1
"adoculist",http://cedar.example.org/ns#belief-2
"adoculisten",http://cedar.example.org/ns#belief-2
"adventist",http://cedar.example.org/ns#belief-1
"adventisten",http://cedar.example.org/ns#belief-1
"adventisten (de nederl vereen van zevende -dags-adventisten)",http://cedar.example.org/ns#belief-1
"adventisten (de nederl vereen van zevende-dags-adventisten)",http://cedar.example.org/ns#belief-1
"afgescheiden gemeente",http://cedar.example.org/ns#belief-3
"afgescheiden gemeenten",http://cedar.example.org/ns#belief-3
"afgescheiden israelieten",http://cedar.example.org/ns#belief-4
"afgescheiden israëliten",http://cedar.example.org/ns#belief-4
"afgescheiden israëlitische gem",http://cedar.example.org/ns#belief-4
"afgescheiden israëlitische gemeente",http://cedar.example.org/ns#belief-113
"algem kerk vh nieuw jeruzalem (swedeborgianen)",http://cedar.example.org/ns#belief-5
"algem kerk vhnieuw jeruzalem (swedeborg genootschap)",http://cedar.example.org/ns#belief-5
"algemeene broederschap organisatie",http://cedar.example.org/ns#belief-6
"algemeene christelijke kerk in sion",http://cedar.example.org/ns#belief-7
"algemene broederschap organisatie",http://cedar.example.org/ns#belief-6
"algemene christelijke kerk in sion",http://cedar.example.org/ns#belief-7
"algemene kerk van het nieuw jeruzalem (swedeborg genootschap)",http://cedar.example.org/ns#belief-5
"ander geloofsgenootschap of kerkelijke gezindte",http://cedar.example.org/ns#belief-8
"andere gezindten (personen behoorende tot een buitenlandsch, niet in nederland gevestigd kerkgenootschap)",http://cedar.example.org/ns#belief-8
"andere kerk gezindten",http://cedar.example.org/ns#belief-8
"andere kerkel gezindten",http://cedar.example.org/ns#belief-8
"andere kerkelijke gezindte",http://cedar.example.org/ns#belief-8
"anglicaans episcopaalse kerk",http://cedar.example.org/ns#belief-9
"anglicaansch episcopalen",http://cedar.example.org/ns#belief-9
"anglicaansche episcopalen",http://cedar.example.org/ns#belief-9
"anglikaansch episcop kerk",http://cedar.example.org/ns#belief-9
"anglikaansch episcopale kerk",http://cedar.example.org/ns#belief-9
"anglikaansch-episcopalen",http://cedar.example.org/ns#belief-9
"anglikaansche episcopalen",http://cedar.example.org/ns#belief-9
"anthroposophische vereeniging",http://cedar.example.org/ns#belief-10
"anthroposophische vereniging",http://cedar.example.org/ns#belief-10
"antoinisme",http://cedar.example.org/ns#belief-11
"apostolisch genootschap",http://cedar.example.org/ns#belief-12
"apostolische gemeente",http://cedar.example.org/ns#belief-13
"apostolischen",http://cedar.example.org/ns#belief-14
"apostolischen (verzamelterm)",http://cedar.example.org/ns#belief-14
"armeens apostolische kerk",http://cedar.example.org/ns#belief-15
"armenianen",http://cedar.example.org/ns#belief-15
"baptisten",http://cedar.example.org/ns#belief-16
"baptisten gemeenten",http://cedar.example.org/ns#belief-16
"beh tot de gereformeerde kerken",http://cedar.example.org/ns#belief-17
"behoorende tot de gereformeerde kerken",http://cedar.example.org/ns#belief-17
"belgische zendingskerk",http://cedar.example.org/ns#belief-18
"bethel, genezen door gebed",http://cedar.example.org/ns#belief-19
"bijbel zendingsgenootschap",http://cedar.example.org/ns#belief-20
"bijbels zendingsgenootschap",http://cedar.example.org/ns#belief-20
"blavats bij boeddhisme",http://cedar.example.org/ns#belief-21
"boeddhisme",http://cedar.example.org/ns#belief-22
"boeddhist",http://cedar.example.org/ns#belief-22
"boeddhisten",http://cedar.example.org/ns#belief-22
"bond van religieuse an-archo-communisten",http://cedar.example.org/ns#belief-23
"bond van religieuze anarco-communisten",http://cedar.example.org/ns#belief-23
"bond van vrije christelijke gem in nederland",http://cedar.example.org/ns#belief-76
"bond van vrije evangelische gemeenten",http://cedar.example.org/ns#belief-76
"brahmanen",http://cedar.example.org/ns#belief-25
"broedergemeente",http://cedar.example.org/ns#belief-47
"calvinisten",http://cedar.example.org/ns#belief-27
"calvinisten (verzamelterm)",http://cedar.example.org/ns#belief-27
"chr geref kerk",http://cedar.example.org/ns#belief-28
"chrgerefkerk",http://cedar.example.org/ns#belief-28
"christ geref kerk",http://cedar.example.org/ns#belief-28
