"Literal",Code
"'s-graveland",http://cedar.example.org/ns#ac-10534
"'s-gravenambacht",http://cedar.example.org/ns#ac-10935
"'s-gravendeel",http://cedar.example.org/ns#ac-10052
"'s-gravenhage",http://cedar.example.org/ns#ac-11434
"'s-gravenhoek",http://cedar.example.org/ns#ac-11420
"'s-gravenmoer",http://cedar.example.org/ns#ac-10469
"'s-gravenpolder",http://cedar.example.org/ns#ac-11059
"'s-gravenzande",http://cedar.example.org/ns#ac-10640
"'s-gravesloot",http://cedar.example.org/ns#ac-10882
"'s-heer abtskerke",http://cedar.example.org/ns#ac-10337
"'s-heer arendskerke",http://cedar.example.org/ns#ac-10875
"'s-heer hendrikskinderen",http://cedar.example.org/ns#ac-10117
"'s-heerenberg",http://cedar.example.org/ns#ac-10350
"'s-heerenhoek",http://cedar.example.org/ns#ac-10721
"'s-hertogenbosch",http://cedar.example.org/ns#ac-10054
"'t woud",http://cedar.example.org/ns#ac-11446
"'t zandt",http://cedar.example.org/ns#ac-10956
"aa en hunze",http://cedar.example.org/ns#ac-10787
"aagtekerke",http://cedar.example.org/ns#ac-10531
"aalburg",http://cedar.example.org/ns#ac-11084
"aalsmeer",http://cedar.example.org/ns#ac-11264
"aalst",http://cedar.example.org/ns#ac-11423
"aalten",http://cedar.example.org/ns#ac-11046
"aardenburg",http://cedar.example.org/ns#ac-11020
"aarlanderveen",http://cedar.example.org/ns#ac-11242
"aarle-rixtel",http://cedar.example.org/ns#ac-10757
"abbekerk",http://cedar.example.org/ns#ac-10439
"abbenbroek",http://cedar.example.org/ns#ac-11026
"abcoude",http://cedar.example.org/ns#ac-10712
"abcoude-baambrugge",http://cedar.example.org/ns#ac-11184
"abcoude-proostdij",http://cedar.example.org/ns#ac-10712
"abstede",http://cedar.example.org/ns#ac-11068
"abtsregt",http://cedar.example.org/ns#ac-10946
"achthoven",http://cedar.example.org/ns#ac-10141
"achtkarspelen",http://cedar.example.org/ns#ac-10199
"achttienhoven",http://cedar.example.org/ns#ac-10972
"ackersdijk en vrouwenregt",http://cedar.example.org/ns#ac-10013
"adorp",http://cedar.example.org/ns#ac-10996
"aduard",http://cedar.example.org/ns#ac-10999
"aengwirden",http://cedar.example.org/ns#ac-10157
"afferden",http://cedar.example.org/ns#ac-11015
"akersloot",http://cedar.example.org/ns#ac-10346
"akkrum",http://cedar.example.org/ns#ac-10140
"alblasserdam",http://cedar.example.org/ns#ac-11327
"albrandswaard",http://cedar.example.org/ns#ac-10124
"alem",http://cedar.example.org/ns#ac-10745
"alem, maren en kessel",http://cedar.example.org/ns#ac-10495
"alkemade",http://cedar.example.org/ns#ac-10349
"alkmaar",http://cedar.example.org/ns#ac-10527
"almelo",http://cedar.example.org/ns#ac-11053
