"Literal",Code
"drenthe",http://cedar.example.org/ns#province-Drenthe
"flevoland",http://cedar.example.org/ns#province-Flevoland
"friesland",http://cedar.example.org/ns#province-Friesland
"gelderland",http://cedar.example.org/ns#province-Gelderland
"groningen",http://cedar.example.org/ns#province-Groningen
"limburg",http://cedar.example.org/ns#province-Limburg
"north brabant",http://cedar.example.org/ns#province-NorthBrabant
"north-brabant",http://cedar.example.org/ns#province-NorthBrabant
"northbrabant",http://cedar.example.org/ns#province-NorthBrabant
"north holland",http://cedar.example.org/ns#province-NorthHolland
"north-holland",http://cedar.example.org/ns#province-NorthHolland
"northholland",http://cedar.example.org/ns#province-NorthHolland
"overijssel",http://cedar.example.org/ns#province-Overijssel
"south holland",http://cedar.example.org/ns#province-SouthHolland
"south-holland",http://cedar.example.org/ns#province-SouthHolland
"southholland",http://cedar.example.org/ns#province-SouthHolland
"utrecht",http://cedar.example.org/ns#province-Utrecht
"zeeland",http://cedar.example.org/ns#province-Zeeland
