"Literal",Code
"#*",http://cedar.example.org/ns#hisco--1
"'s landsaannemer",http://cedar.example.org/ns#hisco-21240
"'s landsarchitect",http://cedar.example.org/ns#hisco-02120
"'s rijkaambtenaar",http://cedar.example.org/ns#hisco-30000
"'s rijksambtenaar",http://cedar.example.org/ns#hisco-30000
"'s rijkscommies",http://cedar.example.org/ns#hisco-30000
"'s-landscommies",http://cedar.example.org/ns#hisco-30000
"'t smidsbedrijf uitoefenende",http://cedar.example.org/ns#hisco-83110
"(ov te 's gravemoer)",http://cedar.example.org/ns#hisco--1
"(ov te yerseke)",http://cedar.example.org/ns#hisco--1
"-1",http://cedar.example.org/ns#hisco--1
"1 ste ziekenoppasser marine",http://cedar.example.org/ns#hisco-07110
"1e boekhouder in de wisselbank",http://cedar.example.org/ns#hisco-33110
"1e bootsman,maat korvet boreas",http://cedar.example.org/ns#hisco-98120
"1e commies bij de in- en uitgaande rechten",http://cedar.example.org/ns#hisco-31040
"1e commies bij het postkantoor",http://cedar.example.org/ns#hisco-33170
"1e commies sted secretarie",http://cedar.example.org/ns#hisco-31090
"1e fitter aan 't gasfabriek",http://cedar.example.org/ns#hisco-87120
"1e kapitein ingenieur",http://cedar.example.org/ns#hisco-58320
"1e klerk ter secretarie",http://cedar.example.org/ns#hisco-30000
"1e komm dep rijksontvangsten",http://cedar.example.org/ns#hisco-31030
"1e lieut 6e bat nat militie",http://cedar.example.org/ns#hisco-58320
"1e luit 2e divisie landmagt",http://cedar.example.org/ns#hisco-58320
"1e luit 4e reginfanterie",http://cedar.example.org/ns#hisco-58320
"1e luit 6e regim infanterie",http://cedar.example.org/ns#hisco-58320
"1e luit bij infanterie",http://cedar.example.org/ns#hisco-58320
"1e luit ingenieur",http://cedar.example.org/ns#hisco-58320
"1e luit1e div korps marinier",http://cedar.example.org/ns#hisco-58320
"1e luiten3e battartillerie",http://cedar.example.org/ns#hisco-58320
"1e luitenant 14e afd infant",http://cedar.example.org/ns#hisco-58320
"1e luitenant 2e afdnationale#",http://cedar.example.org/ns#hisco-58320
"1e luitenant 2e reginfanterie",http://cedar.example.org/ns#hisco-58320
"1e luitenant 3e komp 2e bat#",http://cedar.example.org/ns#hisco-58320
"1e luitenant 6e afdinfanterie",http://cedar.example.org/ns#hisco-58320
"1e luitenant adjudant der #",http://cedar.example.org/ns#hisco-58320
"1e luitenant adjudant infant",http://cedar.example.org/ns#hisco-58320
"1e luitenant b/d artillerie",http://cedar.example.org/ns#hisco-58320
"1e luitenant bij de infanterie",http://cedar.example.org/ns#hisco-58320
"1e luitenant bij infanterie",http://cedar.example.org/ns#hisco-58320
"1e luitenant de la marine en #",http://cedar.example.org/ns#hisco-58320
"1e luitenant der artillerie",http://cedar.example.org/ns#hisco-58320
"1e luitenant der huzaren",http://cedar.example.org/ns#hisco-58320
"1e luitenant der infanterie",http://cedar.example.org/ns#hisco-58320
"1e luitenant der mariniers",http://cedar.example.org/ns#hisco-58320
"1e luitenant gepensioneerd",http://cedar.example.org/ns#hisco-58320
"1e luitenant infanterie",http://cedar.example.org/ns#hisco-58320
"1e luitenant ingenieur",http://cedar.example.org/ns#hisco-58320
"1e luitenant kon marechaussee",http://cedar.example.org/ns#hisco-58320
"1e luitenant kwartiermeester",http://cedar.example.org/ns#hisco-58320
"1e luitenant miladministratie",http://cedar.example.org/ns#hisco-58320
"1e luitenant staf infanterie",http://cedar.example.org/ns#hisco-58320
"1e luitenant ter infanterie",http://cedar.example.org/ns#hisco-58320
"1e luitenant, afd infanterie",http://cedar.example.org/ns#hisco-58320
"1e luitkwartiermcorps marin",http://cedar.example.org/ns#hisco-58320
"1e luitkwartiermeester infant",http://cedar.example.org/ns#hisco-58320
"1e luitkwartiermstmariniers",http://cedar.example.org/ns#hisco-58320
"1e officier grenadiers/jagers",http://cedar.example.org/ns#hisco-58320
"1e officier mailboot",http://cedar.example.org/ns#hisco-04230
"1e scheepmansmaat fregat rhijn",http://cedar.example.org/ns#hisco-98140
"1e schiemansmaat aan boord #",http://cedar.example.org/ns#hisco-98140
"1e schiemansmaat brik padang",http://cedar.example.org/ns#hisco-98140
"1e secretaris van het gouvernement van ned indië",http://cedar.example.org/ns#hisco-30000
"1e smid bij de marine",http://cedar.example.org/ns#hisco-83110
"1e stuurman",http://cedar.example.org/ns#hisco-04230
"1e stuurman bij de marine",http://cedar.example.org/ns#hisco-04230
"1e stuurman fregat de rhijn",http://cedar.example.org/ns#hisco-04230
"1e timmerman aan boord #",http://cedar.example.org/ns#hisco-95455
"1e wachtmeester in rijksdienst",http://cedar.example.org/ns#hisco-58330
"1e zeilmaker bij de marine",http://cedar.example.org/ns#hisco-79920
"1ste luit 27e batt inf",http://cedar.example.org/ns#hisco-58320
"1ste luit der veldartillerie",http://cedar.example.org/ns#hisco-58320
"1ste luitenant der infanterie",http://cedar.example.org/ns#hisco-58320
"1ste luitenant kwartiermeester",http://cedar.example.org/ns#hisco-58320
"21",http://cedar.example.org/ns#hisco--1
"2de luitenant kwartiermeester",http://cedar.example.org/ns#hisco-58320
"2de luitenant-kwartiermeester",http://cedar.example.org/ns#hisco-58320
"2e boekhouder in de wisselbank",http://cedar.example.org/ns#hisco-33110
"2e bootmansmaat aan boord van#",http://cedar.example.org/ns#hisco-58340
"2e bootsman fregat de rhijn",http://cedar.example.org/ns#hisco-98120
"2e bootsman fregat minerva",http://cedar.example.org/ns#hisco-98120
"2e bootsman korvet sumatra",http://cedar.example.org/ns#hisco-98120
"2e commies ter algemene secretarie in batavia (ned indi%)",http://cedar.example.org/ns#hisco-31090
"2e comp de la cohorte",http://cedar.example.org/ns#hisco-58300
"2e kapitien bij artillerie",http://cedar.example.org/ns#hisco-58320
"2e kuiper aan boord van zm #",http://cedar.example.org/ns#hisco-81930
"2e kuiper vrachtschip de maas",http://cedar.example.org/ns#hisco-81930
"2e luit batt artillerie",http://cedar.example.org/ns#hisco-58320
"2e luit der infanterie",http://cedar.example.org/ns#hisco-58320
"2e luit konmarine bd",http://cedar.example.org/ns#hisco-58320
"2e luit kwartiermrindleger",http://cedar.example.org/ns#hisco-58320
"2e luit magazijnmrartillerie",http://cedar.example.org/ns#hisco-39140
"2e luitenant #",http://cedar.example.org/ns#hisco-58320
"2e luitenant 1e battaillon #",http://cedar.example.org/ns#hisco-58320
"2e luitenant 2e afd natinfant",http://cedar.example.org/ns#hisco-58320
"2e luitenant 3e reg artilleri",http://cedar.example.org/ns#hisco-58320
"2e luitenant adjudant der #",http://cedar.example.org/ns#hisco-58320
"2e luitenant afd infanterie",http://cedar.example.org/ns#hisco-58320
"2e luitenant artillerie",http://cedar.example.org/ns#hisco-58320
"2e luitenant b/h 1e reg vestings artillerie",http://cedar.example.org/ns#hisco-58320
"2e luitenant batt landmacht",http://cedar.example.org/ns#hisco-58320
"2e luitenant bij 2e regement vesting artillerie",http://cedar.example.org/ns#hisco-58320
"2e luitenant bij de 14e afdeling infanterie",http://cedar.example.org/ns#hisco-58320
"2e luitenant bij de hussaren",http://cedar.example.org/ns#hisco-58320
"2e luitenant bij de infanterie",http://cedar.example.org/ns#hisco-58320
"2e luitenant bij de vierde #",http://cedar.example.org/ns#hisco-58320
"2e luitenant bij het bataillon",http://cedar.example.org/ns#hisco-58320
"2e luitenant bij infanterie",http://cedar.example.org/ns#hisco-58320
"2e luitenant bij schutterij",http://cedar.example.org/ns#hisco-58320
"2e luitenant corps mariniers",http://cedar.example.org/ns#hisco-58320
"2e luitenant depot landmacht",http://cedar.example.org/ns#hisco-58320
"2e luitenant der artillerie",http://cedar.example.org/ns#hisco-58320
"2e luitenant der infanterie",http://cedar.example.org/ns#hisco-58320
"2e luitenant infanterie",http://cedar.example.org/ns#hisco-58320
"2e luitenant ingenieur",http://cedar.example.org/ns#hisco-58320
"2e luitenant kwartiemeester",http://cedar.example.org/ns#hisco-58320
"2e luitenant kwartiermeester",http://cedar.example.org/ns#hisco-58320
"2e luitenant kwartiermeester#",http://cedar.example.org/ns#hisco-58320
"2e luitenant schutterij",http://cedar.example.org/ns#hisco-58320
"2e luitenant ter infanterie",http://cedar.example.org/ns#hisco-58320
"2e luitenant/magazijnmeester",http://cedar.example.org/ns#hisco-39140
"2e luitinfanterie oindleger",http://cedar.example.org/ns#hisco-58320
"2e luitinfantoost indleger",http://cedar.example.org/ns#hisco-58320
"2e luitkwartiermst landmacht",http://cedar.example.org/ns#hisco-58320
"2e luitnationale infanterie",http://cedar.example.org/ns#hisco-58320
"2e luitter zee",http://cedar.example.org/ns#hisco-58320
"2e machinist pakketvaartmaats",http://cedar.example.org/ns#hisco-98220
"2e schipper wachtscheuridice",http://cedar.example.org/ns#hisco-04217
